"","ccode","idacr","leader","id","numentry","numexit","numexitcode","DICT","starttime","shocktime","tenure","political.affiliation","eventtime","event","ugovt","rtpast","DICT3","shock","polaffi2","Z"
"1",339,"ALB","Berisha",1,0,1,0,2,3,6,6,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"2",339,"ALB","Fatos Nano",2,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"3",339,"ALB","Majko",3,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"4",339,"ALB","Meta",4,0,1,0,0,0,4,4,"fullhouse",4,1,"fullhouse",NA,"democracy",0,"ins_all","1"
"6",339,"ALB","Fatos Nano",6,0,1,0,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"7",339,"ALB","Berisha",7,0,1,0,0,0,9,9,"fullhouse",5,1,"fullhouse",NA,"democracy",0,"ins_all","1"
"8",339,"ALB","Rama",8,0,-888,-888,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_t_s","1"
"9",160,"ARG","Menem",11,0,1,0,0,7,12,12,"reelected",4,0,"reelected",NA,"democracy",0,"ins_all","1"
"10",160,"ARG","de la Rua",12,0,1,0,0,0,3,3,"Dopposition",3,0,"Dopposition",NA,"democracy",0,"ins_all","1"
"12",160,"ARG","Adolfo Rodriguez Saa",14,0,1,0,0,0,2,2,"Dopposition",2,0,"Dopposition",NA,"democracy",0,"ins_all","1"
"13",160,"ARG","Eduardo Duhalde",15,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"14",160,"ARG","Nestor Kirchner",16,0,1,0,0,0,5,5,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"15",160,"ARG","Fernandez de Kirchner",17,0,1,0,0,0,9,9,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"s_all","0"
"16",160,"ARG","Mauricio Macri",18,0,-888,-888,0,0,1,1,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
