ccode,ccname,idacr,leader,year,entry,exit,exitcode,regime.spell,v2x_libdem, v2x_libdem_codehigh ,DEMDUR,DEXDUR,AUTODUR,AUTOGROUP,TENURE,SignPTA,NegPTA,DICT,poleff,opposition,eiec,reelection,allhouse
339,Albania,ALB,Berisha,1995,0,1,0,democracy, 0.37 ,,4,4,0,0,4,0,0,0,1,0,7,,1
339,Albania,ALB,Berisha,1996,0,1,0,democracy, 0.35 ,,5,5,0,0,5,0,0,0,1,0,7,,1
339,Albania,ALB,Berisha,1997,0,1,0,democracy, 0.33 ,,6,6,0,0,6,0,0,0,1,0,7,,1
339,Albania,ALB,Fatos Nano,1997,0,1,0,democracy, 0.33 ,,7,1,0,0,1,0,0,0,1,0,7,,1
339,Albania,ALB,Fatos Nano,1998,0,1,0,democracy, 0.34 ,,8,2,0,0,2,0,0,0,2,0,7,,1
339,Albania,ALB,Majko,1998,0,1,0,democracy, 0.34 ,,9,1,0,0,1,0,0,0,2,0,7,,1
339,Albania,ALB,Majko,1999,0,1,0,democracy, 0.34 ,,10,2,0,0,2,0,0,0,2,0,7,,1
339,Albania,ALB,Meta,1999,0,1,0,democracy, 0.34 ,,11,1,0,0,1,0,0,0,2,0,7,,1
339,Albania,ALB,Meta,2000,0,1,0,democracy, 0.37 ,,12,2,0,0,2,0,0,0,2,0,7,,1
339,Albania,ALB,Meta,2001,0,1,0,democracy, 0.39 ,,13,3,0,0,3,0,0,0,2,0,7,,1
339,Albania,ALB,Meta,2002,0,1,0,democracy, 0.43 ,,14,4,0,0,4,0,1,0,2,0,7,,1
339,Albania,ALB,Majko,2002,0,1,0,democracy, 0.43 ,,15,1,0,0,1,0,0,0,2,0,7,,1
339,Albania,ALB,Fatos Nano,2002,0,1,0,democracy, 0.43 ,,16,1,0,0,1,0,0,0,2,0,7,,1
339,Albania,ALB,Fatos Nano,2003,0,1,0,democracy, 0.43 ,,17,2,0,0,2,0,0,0,2,0,7,,1
339,Albania,ALB,Fatos Nano,2004,0,1,0,democracy, 0.44 ,,18,3,0,0,3,0,0,0,2,0,7,,1
339,Albania,ALB,Fatos Nano,2005,0,1,0,democracy, 0.45 ,,19,4,0,0,4,0,0,0,2,0,7,,1
339,Albania,ALB,Berisha,2005,0,1,0,democracy, 0.45 ,,20,1,0,0,1,0,0,0,2,0,7,,1
