ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
339,ALB,Berisha,1,1,democratized,2,3,6,6,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
339,ALB,Fatos Nano,2,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
339,ALB,Majko,3,1,democracy,0,0,2,2,fullhouse,2,0,fullhouse,,democracy,0,ins_all,1
339,ALB,Meta,4,1,democracy,0,0,4,4,fullhouse,4,1,fullhouse,,democracy,0,ins_all,1
339,ALB,Majko,5,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
339,ALB,Fatos Nano,6,1,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
339,ALB,Berisha,7,1,democracy,0,0,9,9,fullhouse,5,1,fullhouse,,democracy,0,ins_all,1
339,ALB,Rama,8,-888,democracy,0,0,3,3,fullhouse,3,0,fullhouse,,democracy,0,ins_t_s,1
160,ARG,Menem,11,1,democracy,0,7,12,12,reelected,4,0,reelected,,democracy,0,ins_all,1
160,ARG,de la Rua,12,1,democracy,0,0,3,3,Dopposition,3,0,Dopposition,,democracy,0,ins_all,1
160,ARG,Ramon Puerta,13,1,democracy,0,0,1,1,Dopposition,1,0,Dopposition,,democracy,0,ins_all,1
160,ARG,Adolfo Rodriguez Saa,14,1,democracy,0,0,2,2,Dopposition,2,0,Dopposition,,democracy,0,ins_all,1
160,ARG,Eduardo Duhalde,15,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
160,ARG,Nestor Kirchner,16,1,democracy,0,0,5,5,Notfullhouse,2,1,Notfullhouse,,democracy,0,ins_t_s,1
160,ARG,Fernandez de Kirchner,17,1,democracy,0,0,9,9,fullhouse,2,0,fullhouse,,democracy,0,s_all,0
