ccname,year,ccode,idacr,leader,exit,v2x_libdem,v2x_libdem_codehigh,v2x_libdem_codelow,regime.spell,TENURE,SignPTA,NegPTA,DICT,poleff,reelection,allhouse,GDPpercapita,PTS_A.x,DEMDUR,AUTODUR,GDPgrowth
Albania,1995,339,ALB,Berisha,1,0.37,0.41,0.31,democracy,4,0,0,0,1,NA,1,1764.699296,3,4,0,13.3
Albania,1996,339,ALB,Berisha,1,0.35,0.38,0.3,democracy,5,0,0,0,1,NA,1,1937.290072,3,5,0,9.1
Albania,1997,339,ALB,Berisha,1,0.33,0.36,0.3,democracy,6,0,0,0,1,NA,1,1738.16646,4,6,0,-10.84
Albania,1997,339,ALB,Fatos Nano,1,0.33,0.36,0.3,democracy,1,0,0,0,1,NA,1,1738.16646,4,6,0,-10.84
Albania,1998,339,ALB,Fatos Nano,1,0.34,0.38,0.3,democracy,2,0,0,0,2,NA,1,1906.717261,3,7,0,9.01
Albania,1998,339,ALB,Majko,1,0.34,0.38,0.3,democracy,1,0,0,0,2,NA,1,1906.717261,3,7,0,9.01
Albania,1999,339,ALB,Meta,1,0.34,0.37,0.3,democracy,1,0,0,0,2,NA,1,2177.896633,3,8,0,13.5
Albania,1999,339,ALB,Majko,1,0.34,0.37,0.3,democracy,2,0,0,0,2,NA,1,2177.896633,3,8,0,13.5
Albania,2000,339,ALB,Meta,1,0.37,0.4,0.32,democracy,2,0,0,0,2,NA,1,2337.942386,3,9,0,6.67
Albania,2001,339,ALB,Meta,1,0.39,0.42,0.33,democracy,3,0,0,0,2,NA,1,2547.377316,3,10,0,7.94
Albania,2002,339,ALB,Majko,1,0.43,0.47,0.38,democracy,1,0,0,0,2,NA,1,2663.140477,3,11,0,4.23
Albania,2002,339,ALB,Meta,1,0.43,0.47,0.38,democracy,4,0,1,0,2,NA,1,2663.140477,3,11,0,4.23
Albania,2002,339,ALB,Fatos Nano,1,0.43,0.47,0.38,democracy,1,0,0,0,2,NA,1,2663.140477,3,12,0,4.23
Albania,2003,339,ALB,Fatos Nano,1,0.43,0.46,0.37,democracy,2,0,0,0,2,NA,1,2827.455778,2,13,0,5.77
Albania,2004,339,ALB,Fatos Nano,1,0.44,0.48,0.38,democracy,3,0,0,0,2,NA,1,3001.408618,3,14,0,5.71
Albania,2005,339,ALB,Berisha,1,0.45,0.49,0.39,democracy,1,0,0,0,2,NA,1,3189.395111,2,15,0,5.72
Albania,2005,339,ALB,Fatos Nano,1,0.45,0.49,0.39,democracy,4,0,0,0,2,NA,1,3189.395111,2,15,0,5.72
Albania,2006,339,ALB,Berisha,1,0.45,0.5,0.4,democracy,2,1,0,0,2,NA,0,3383.893726,3,16,0,5.43
Albania,2007,339,ALB,Berisha,1,0.46,0.5,0.41,democracy,3,0,0,0,1,NA,0,3610.727554,2,17,0,5.9
Albania,2008,339,ALB,Berisha,1,0.47,0.52,0.41,democracy,4,0,0,0,1,NA,0,3775.380988,2,18,0,3.76
Albania,2009,339,ALB,Berisha,1,0.48,0.53,0.42,democracy,5,1,1,0,1,1,0,3928.338638,2,19,0,3.35
Albania,2010,339,ALB,Berisha,1,0.48,0.54,0.41,democracy,6,0,0,0,1,NA,0,4094.358832,2,20,0,3.71
Albania,2011,339,ALB,Berisha,1,0.48,0.53,0.42,democracy,7,0,0,0,1,NA,0,4210.082199,2,21,0,2.55
Albania,2012,339,ALB,Berisha,1,0.48,0.52,0.41,democracy,8,0,0,0,1,NA,0,4276.92155,1,22,0,1.42
Albania,2013,339,ALB,Rama,-888,0.45,0.5,0.4,democracy,1,0,0,0,1,NA,0,4327.644518,NA,23,0,1
Albania,2013,339,ALB,Berisha,1,0.45,0.5,0.4,democracy,9,0,0,0,1,NA,0,4327.644518,NA,23,0,1
Albania,2014,339,ALB,Rama,-888,0.47,0.51,0.43,democracy,2,0,0,0,0,NA,0,4413.561583,2,24,0,1.77
Albania,2015,339,ALB,Rama,-888,0.46,0.52,0.43,democracy,3,0,0,0,0,NA,0,4524.644432,3,25,0,2.22
Algeria,1995,615,ALG,Zeroual,1,0.1,0.12,0.08,dictatorship,2,0,0,2,2,NA,1,3223.55756,5,0,1,3.8
Algeria,1996,615,ALG,Zeroual,1,0.13,0.16,0.1,dictatorship,3,0,1,2,2,NA,1,3297.863375,5,0,2,4.1
Algeria,1997,615,ALG,Zeroual,1,0.14,0.16,0.11,dictatorship,4,0,0,2,2,NA,1,3281.102139,5,0,3,1.1
Algeria,1998,615,ALG,Zeroual,1,0.14,0.16,0.11,dictatorship,5,0,0,2,2,NA,1,3397.410198,5,0,4,5.1
Algeria,1999,615,ALG,Zeroual,1,0.16,0.19,0.13,dictatorship,6,0,0,2,2,NA,1,3457.137046,5,0,5,3.2
Algeria,1999,615,ALG,Bouteflika,-888,0.16,0.19,0.13,dictatorship,1,0,0,2,2,NA,1,3457.137046,5,0,5,3.2
Algeria,2000,615,ALG,Bouteflika,-888,0.15,0.18,0.13,dictatorship,2,0,0,2,2,NA,1,3541.072037,5,0,6,3.82
Algeria,2001,615,ALG,Bouteflika,-888,0.15,0.18,0.13,dictatorship,3,0,0,2,2,NA,1,3600.437254,5,0,7,3.01
Algeria,2002,615,ALG,Bouteflika,-888,0.16,0.19,0.13,dictatorship,4,1,0,1,2,NA,1,3754.516275,4,0,8,5.61
Algeria,2003,615,ALG,Bouteflika,-888,0.16,0.19,0.13,dictatorship,5,0,0,1,2,NA,1,3974.175032,5,0,9,7.2
Algeria,2004,615,ALG,Bouteflika,-888,0.16,0.18,0.13,dictatorship,6,0,0,1,2,NA,1,4091.144235,4,0,10,4.3
Algeria,2005,615,ALG,Bouteflika,-888,0.16,0.18,0.14,dictatorship,7,0,0,1,2,NA,1,4273.312751,4,0,11,5.91
Algeria,2006,615,ALG,Bouteflika,-888,0.17,0.2,0.14,dictatorship,8,0,0,1,2,NA,1,4282.328231,4,0,12,1.68
Algeria,2007,615,ALG,Bouteflika,-888,0.17,0.2,0.14,dictatorship,9,0,1,1,1,NA,1,4359.375748,4,0,13,3.37
Algeria,2008,615,ALG,Bouteflika,-888,0.17,0.19,0.14,dictatorship,10,0,0,1,1,NA,1,4390.499633,3,0,14,2.36
Algeria,2009,615,ALG,Bouteflika,-888,0.16,0.19,0.14,dictatorship,11,0,0,1,1,NA,1,4386.038896,3,0,15,1.63
Algeria,2010,615,ALG,Bouteflika,-888,0.16,0.18,0.13,dictatorship,12,0,0,1,1,NA,1,4463.394675,3,0,16,3.63
Algeria,2011,615,ALG,Bouteflika,-888,0.16,0.19,0.13,dictatorship,13,0,0,1,1,NA,1,4504.920098,3,0,17,2.89
Algeria,2012,615,ALG,Bouteflika,-888,0.16,0.18,0.14,dictatorship,14,0,0,1,2,NA,1,4564.435017,2,0,18,3.37
Algeria,2013,615,ALG,Bouteflika,-888,0.16,0.18,0.13,dictatorship,15,0,0,1,2,NA,1,4596.219627,NA,0,19,2.77
Algeria,2014,615,ALG,Bouteflika,-888,0.17,0.19,0.14,dictatorship,16,0,0,1,1,NA,1,4675.885024,3,0,20,3.79
Algeria,2015,615,ALG,Bouteflika,-888,0.17,0.2,0.14,dictatorship,17,0,0,1,1,NA,1,4759.595242,3,0,21,3.76
Argentina,1995,160,ARG,Menem,1,0.63,0.7,0.57,democracy,8,0,0,0,1,1,1,7630.022274,2,12,0,-2.85
Argentina,1996,160,ARG,Menem,1,0.62,0.68,0.56,democracy,9,0,0,0,1,NA,1,7955.127652,3,13,0,5.53
Argentina,1997,160,ARG,Menem,1,0.62,0.68,0.56,democracy,10,0,0,0,1,NA,1,8500.940362,2,14,0,8.11
Argentina,1998,160,ARG,Menem,1,0.63,0.69,0.56,democracy,11,0,0,0,1,NA,1,8728.947651,3,15,0,3.85
Argentina,1999,160,ARG,Menem,1,0.62,0.69,0.58,democracy,12,0,0,0,1,NA,1,8339.894389,3,16,0,-3.39
Argentina,1999,160,ARG,de la Rua,1,0.62,0.69,0.58,democracy,1,0,0,0,1,NA,1,8339.894389,3,16,0,-3.39
Argentina,2000,160,ARG,de la Rua,1,0.66,0.72,0.61,democracy,2,0,0,0,1,NA,0,8182.686502,2,17,0,-0.79
Argentina,2001,160,ARG,Ramon Puerta,1,0.68,0.75,0.61,democracy,1,0,0,0,1,NA,0,7735.493364,3,18,0,-4.41
Argentina,2001,160,ARG,Adolfo Rodriguez Saa,1,0.68,0.75,0.61,democracy,1,0,0,0,1,NA,0,7735.493364,3,18,0,-4.41
Argentina,2001,160,ARG,de la Rua,1,0.68,0.75,0.61,democracy,3,0,0,0,1,NA,0,7735.493364,3,18,0,-4.41
Argentina,2002,160,ARG,Eduardo Duhalde,1,0.66,0.73,0.59,democracy,1,0,0,0,1,NA,0,6816.734855,3,19,0,-10.89
Argentina,2002,160,ARG,Adolfo Rodriguez Saa,1,0.66,0.73,0.59,democracy,2,0,0,0,1,NA,0,6816.734855,3,19,0,-10.89
Argentina,2003,160,ARG,Nestor Kirchner,1,0.64,0.7,0.58,democracy,1,0,0,0,1,NA,0,7337.792038,2,20,0,8.84
Argentina,2003,160,ARG,Eduardo Duhalde,1,0.64,0.7,0.58,democracy,2,0,0,0,1,NA,0,7337.792038,2,20,0,8.84
Argentina,2004,160,ARG,Nestor Kirchner,1,0.64,0.7,0.57,democracy,2,0,1,0,1,NA,0,7913.743124,2,21,0,9.03
Argentina,2005,160,ARG,Nestor Kirchner,1,0.64,0.7,0.58,democracy,3,0,0,0,0,NA,0,8522.522732,2,22,0,8.85
Argentina,2006,160,ARG,Nestor Kirchner,1,0.63,0.69,0.57,democracy,4,0,1,0,0,NA,1,9112.113163,1,23,0,8.05
